-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  batch        50.16%      119.489s        99.92%      238.031s      238.031s       0.000us         0.00%     680.572ms     680.572ms             1  
                                            aten::empty         0.00%       6.396ms         0.00%       6.627ms       2.328us       0.000us         0.00%       0.000us       0.000us          2847  
                                          aten::random_         0.00%      58.129us         0.00%      58.129us      29.064us       0.000us         0.00%       0.000us       0.000us             2  
                                             aten::item         0.00%       1.991ms         0.14%     331.854ms     244.011us       0.000us         0.00%     467.872us       0.344us          1360  
                              aten::_local_scalar_dense         0.00%       3.316ms         0.14%     329.864ms     242.547us     467.872us         0.04%     467.872us       0.344us          1360  
                                         aten::randperm         0.00%      98.260us         0.00%     229.170us      57.293us       0.000us         0.00%       0.000us       0.000us             4  
                                    aten::scalar_tensor         0.00%      27.290us         0.00%      27.290us      13.645us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::resize_         0.00%       2.141ms         0.00%       2.141ms       1.567us       0.000us         0.00%       0.000us       0.000us          1366  
                                     aten::resolve_conj         0.00%     312.999us         0.00%     312.999us       0.203us       0.000us         0.00%       0.000us       0.000us          1544  
                                      aten::resolve_neg         0.00%     184.410us         0.00%     184.410us       0.119us       0.000us         0.00%       0.000us       0.000us          1544  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        48.66%      115.910s        48.78%      116.205s       38.735s       0.000us         0.00%       6.882ms       2.294ms             3  
                               cudaPointerGetAttributes         0.00%     131.270us         0.00%     131.270us       0.586us       1.359ms         0.11%       1.359ms       6.066us           224  
                                          cudaHostAlloc         0.12%     296.831ms         0.12%     296.831ms      37.104ms       5.523ms         0.47%       5.523ms     690.393us             8  
                                               aten::to         0.00%       3.627ms         0.28%     655.389ms     109.578us       0.000us         0.00%     447.579ms      74.833us          5981  
                                         aten::_to_copy         0.00%       9.690ms         0.27%     651.761ms     475.045us       0.000us         0.00%     447.579ms     326.224us          1372  
                                    aten::empty_strided         0.01%      12.228ms         0.01%      14.657ms       9.732us       0.000us         0.00%       0.000us       0.000us          1506  
                                  cudaStreamIsCapturing         0.00%     121.130us         0.00%     121.130us       0.662us       0.000us         0.00%       0.000us       0.000us           183  
                                             cudaMalloc         0.00%       6.240ms         0.00%       6.240ms     127.349us       0.000us         0.00%       0.000us       0.000us            49  
                                            aten::copy_         0.03%      80.898ms         0.26%     629.634ms     436.034us     447.730ms        37.80%     447.730ms     310.062us          1444  
                                        cudaMemcpyAsync         0.22%     517.334ms         0.22%     517.334ms     332.050us       0.000us         0.00%       0.000us       0.000us          1558  
