-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                  batch        34.39%       98.710s        99.94%      286.870s      286.870s       0.000us         0.00%     675.307ms     675.307ms             1  
                                            aten::empty         0.01%      16.631ms         0.01%      16.865ms       2.662us       0.000us         0.00%       0.000us       0.000us          6335  
                                          aten::random_         0.00%      29.469us         0.00%      29.469us      14.734us       0.000us         0.00%       0.000us       0.000us             2  
                                             aten::item         0.00%       3.484ms         0.12%     339.486ms     118.536us       0.000us         0.00%     468.637us       0.164us          2864  
                              aten::_local_scalar_dense         0.00%       3.852ms         0.12%     336.002ms     117.319us     468.637us         0.04%     468.637us       0.164us          2864  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        37.35%      107.205s        64.96%      186.474s       62.158s       0.000us         0.00%       0.000us       0.000us             3  
                                         aten::randperm         0.00%      68.330us         0.00%     136.940us      34.235us       0.000us         0.00%       0.000us       0.000us             4  
                                    aten::scalar_tensor         0.00%       8.620us         0.00%       8.620us       4.310us       0.000us         0.00%       0.000us       0.000us             2  
                                          aten::resize_         0.00%       3.266ms         0.00%       3.266ms       1.465us       0.000us         0.00%       0.000us       0.000us          2230  
                                     aten::resolve_conj         0.00%     599.440us         0.00%     599.440us       0.180us       0.000us         0.00%       0.000us       0.000us          3336  
                                      aten::resolve_neg         0.00%     275.639us         0.00%     275.639us       0.107us       0.000us         0.00%       0.000us       0.000us          2568  
                                       aten::lift_fresh         0.00%       2.455ms         0.00%       2.455ms       0.696us       0.000us         0.00%       0.000us       0.000us          3527  
                                               aten::to         0.00%       6.813ms         1.04%        2.996s     245.770us       0.000us         0.00%     450.014ms      36.920us         12189  
                                            aten::alias         0.00%       7.862ms         0.00%       7.862ms       2.251us       0.000us         0.00%       0.000us       0.000us          3492  
                                              aten::eye         0.01%      16.023ms         0.01%      29.223ms       7.739us       0.000us         0.00%       0.000us       0.000us          3776  
                                            aten::zero_         0.00%     874.527us         0.00%       5.260ms       2.246us       0.000us         0.00%     129.155us       0.055us          2342  
                                        aten::unsqueeze         0.00%       3.888ms         0.00%       4.784ms       5.655us       0.000us         0.00%       0.000us       0.000us           846  
                                       aten::as_strided         0.00%       7.898ms         0.00%       7.898ms       0.902us       0.000us         0.00%       0.000us       0.000us          8752  
                                            aten::slice         0.00%       5.631ms         0.00%       6.721ms       3.493us       0.000us         0.00%       0.000us       0.000us          1924  
                                              aten::mul         0.00%      13.893ms         0.01%      19.913ms      22.476us       6.211ms         0.52%       6.211ms       7.010us           886  
                                              aten::sum         0.00%       6.878ms         0.01%      18.157ms      49.073us      24.100ms         2.03%      27.763ms      75.035us           370  
